name,lat,lon
12492,12.9359874,77.744171
12493,12.9360097,77.7442151
12494,12.9365884,77.7449364
12495,12.9366768,77.7449476
12496,12.9367392,77.7450471
12497,12.9368147,77.7450985
12498,12.9372043,77.7456815
12499,12.9372841,77.745811
12500,12.9373098,77.7458382
12501,12.9373283,77.7458712
12502,12.9386997,77.7473503
12503,12.9397223,77.7474405
12504,12.9398243,77.7474528
12505,12.9398166,77.7474541
12506,12.9398121,77.7474426
12507,12.9400309,77.7473389
12508,12.9388958,77.7453869
12509,12.9388958,77.7453869
12510,12.9388958,77.7453869
12511,12.9411806,77.7470605
12512,12.9414368,77.7472894
12513,12.9418309,77.7470795
12514,12.941915,77.7470829
12515,12.9419224,77.7470931
12516,12.9414368,77.7472894
12517,12.9457401,77.7469664
12518,12.9454662,77.6978095
12519,12.9462749,77.6999563
12520,12.9501439,77.7452628
12521,12.9501439,77.7452628
12522,12.9501439,77.7452628
12523,12.9541809,77.744293
12524,12.9550612,77.7435986
12525,12.9550612,77.7435986
12526,12.957066,77.7458069
12527,12.9579215,77.7443139
12528,12.9593856,77.7453869
12529,12.9616212,77.7477516
12530,12.9654769,77.7471751
12531,12.9654769,77.7471751
12532,12.9668755,77.7490981
12533,12.9672605,77.7475327
12534,12.9716025,77.7496786
12535,12.9701453,77.7499451
12536,12.9716025,77.7496786
12537,12.9739262,77.7503583
12538,12.9741254,77.7504326
12539,12.9742328,77.7504525
12540,12.9770074,77.7508995
12541,12.9772171,77.7510399
12542,12.9773024,77.7510921
12543,12.9779002,77.7511828
12544,12.9781513,77.7512503
12545,12.9793159,77.751515
12546,12.9794737,77.7514595
12547,12.9795042,77.7514717
12548,12.9798327,77.7515577
12549,12.9800244,77.7514495
12550,12.9812515,77.7518078
12551,12.9813513,77.7519314
12552,12.9814649,77.7519061
12553,12.9820465,77.751478
12554,12.9818966,77.7513814
12555,12.9819242,77.7512364
12556,12.9819242,77.7512364
12557,12.9824957,77.7488018
12558,12.981748,77.7475327
12559,12.9832147,77.7459097
12560,12.9832147,77.7459097
12561,12.9855331,77.7453869
12562,12.9860527,77.7414527
12563,12.983678,77.743763
12564,12.983678,77.743763
12565,12.983528,77.7403797
12566,12.9860527,77.7414527
12567,12.984158,77.742324
12568,12.9860527,77.7414527
12569,12.9860527,77.7414527
12570,12.9868104,77.7405632
12571,12.9870278,77.7396644
12572,12.9874733,77.7404651
12573,12.9870278,77.7396644
12574,12.9870278,77.7396644
12575,12.9880576,77.7395893
12576,12.9870278,77.7396644
12577,12.9875155,77.7374803
12578,12.9865382,77.736803
12579,12.9875956,77.735959
12580,12.9864531,77.7350146
12581,12.9877457,77.7342506
12582,12.9864531,77.7350146
12583,12.9876689,77.7322757
12584,12.9876689,77.7322757
12585,12.9876885,77.7324502
12586,12.9876866,77.732643
12587,12.9864531,77.7350146
12588,12.9876746,77.7328258
12589,12.9876711,77.7328747
12590,12.9876911,77.732913
12591,12.9868746,77.7364453
12592,12.9864531,77.7350146
12593,12.9858783,77.7303646
12594,12.9885349,77.7267876
12595,12.9886234,77.7288141
12596,12.9885349,77.7267876
12597,12.9885349,77.7267876
12598,12.9886282,77.7272063
12599,12.9885349,77.7267876
12600,12.9892211,77.726423
12601,12.9893164,77.7269177
12602,12.9893164,77.7269177
12603,12.9885349,77.7267876
